,isEmpty,peek,calledMethod,isEmpty_p,calledMethod_p
0,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
2,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@162be91c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
3,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""push"""
4,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
5,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
6,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""push"""
8,"isEmpty == ""false""","peek == ""class java.lang.Object""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
11,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
12,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
13,"isEmpty == ""false""","peek == ""100""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
14,"isEmpty == ""false""","peek == ""false""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
15,"isEmpty == ""false""","peek == ""100""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
16,"isEmpty == ""false""","peek == ""class java.lang.Object""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
18,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
24,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1c9f0a20""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
26,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
30,"isEmpty == ""false""","peek == ""0.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
31,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
32,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2488b073""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
35,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1991f767""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
36,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
37,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
41,"isEmpty == ""false""","peek == ""nan""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
43,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
47,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@768ccdc5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
59,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@18518ccf""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
60,"isEmpty == ""false""","peek == ""false""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
61,"isEmpty == ""false""","peek == ""100""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
62,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
65,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@768ccdc5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
67,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4c6daf0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
68,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
74,"isEmpty == ""false""","peek == ""100""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
75,"isEmpty == ""false""","peek == ""10.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
79,"isEmpty == ""false""","peek == ""10""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
87,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@659eef7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
94,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@10650953""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
100,"isEmpty == ""false""","peek == ""10""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
108,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@659eef7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
131,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@59d2103b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
138,"isEmpty == ""false""","peek == ""class java.lang.Object""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
145,"isEmpty == ""false""","peek == ""0.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
146,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@9bd0fa6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
160,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@74e47444""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
175,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
195,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6e4de19b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
197,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6e4de19b""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
210,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@f6c03cb""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
213,"isEmpty == ""false""","peek == ""1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
214,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@46f699d5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
221,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@39dcf4b0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
239,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@533377b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
242,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@f27ea3""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
247,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@346939bf""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
250,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4bf3798b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
268,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@10fde30a""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
270,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
271,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58670130""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
281,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3383649e""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
290,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1ce61929""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
308,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@34625ccd""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
324,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2c7d121c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
332,"isEmpty == ""false""","peek == ""-1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
334,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
339,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@67389cb8""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
358,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@65aa6596""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
365,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@65aa6596""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
371,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@419a20a6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
