,isEmpty,peek,calledMethod,isEmpty_p,calledMethod_p
0,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
2,"isEmpty == ""false""","peek == ""false""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
3,"isEmpty == ""false""","peek == ""nan""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
4,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1dbd580""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
5,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""push"""
6,"isEmpty == ""false""","peek == ""10""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
7,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""push"""
8,"isEmpty == ""false""","peek == ""true""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
9,"isEmpty == ""false""","peek == ""0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
11,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
13,"isEmpty == ""false""","peek == ""0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
14,"isEmpty == ""false""","peek == ""-1.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
16,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
17,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
19,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
21,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
22,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
23,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1dbd580""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
24,"isEmpty == ""false""","peek == ""1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
33,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
36,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6a6f6c7e""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
37,"isEmpty == ""false""","peek == ""false""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
38,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
44,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6c5ddccd""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
51,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3f1a4795""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
52,"isEmpty == ""false""","peek == ""true""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
55,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7fb48179""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
66,"isEmpty == ""false""","peek == ""10""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
67,"isEmpty == ""false""","peek == ""-1.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
68,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6c101cc1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
69,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7d0d91a1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
76,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
79,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@54402c04""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
82,"isEmpty == ""false""","peek == ""10.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
83,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58d6b7b9""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
88,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5b3bb1f7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
98,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58d6b7b9""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
106,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
107,"isEmpty == ""false""","peek == ""0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
108,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5b3bb1f7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
110,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5b3bb1f7""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
119,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@24a86066""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
125,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@24a86066""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
135,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@17461db""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
138,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4e682398""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
150,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@17461db""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
158,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3fd9e827""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
169,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@43a65cd8""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
171,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3f1ef9d6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
176,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@670b3ca""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
181,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@514de325""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
183,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@30c1da48""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
189,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@16a9eb2e""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
193,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5434e40c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
200,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3b48e183""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
205,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@d1d8e1a""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
213,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@76332405""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
215,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@187e5235""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
217,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@187e5235""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
218,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
234,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4784efd9""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
236,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3fba233d""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
248,"isEmpty == ""false""","peek == ""0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
254,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@21ba2445""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
258,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@376c7d7d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
260,"isEmpty == ""false""","peek == ""-1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
262,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@427ae189""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
