,isEmpty,peek,calledMethod,isEmpty_p,calledMethod_p
0,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
2,"isEmpty == ""false""","peek == ""true""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
3,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
4,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
5,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@77a2aa4a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
6,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""push"""
8,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
10,"isEmpty == ""false""","peek == ""-1""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
12,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@47ad69f7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
18,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
21,"isEmpty == ""false""","peek == ""0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
22,"isEmpty == ""false""","peek == ""-1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
23,"isEmpty == ""false""","peek == ""0.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
24,"isEmpty == ""false""","peek == ""-1""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
25,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
29,"isEmpty == ""false""","peek == ""#""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
31,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""push"""
33,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@47ad69f7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
46,"isEmpty == ""false""","peek == ""0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
47,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1de9d54""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
48,"isEmpty == ""false""","peek == ""0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
49,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@47ad69f7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
52,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2b917fb0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
64,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@128c502c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
73,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@65eabaab""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
77,"isEmpty == ""false""","peek == "" ""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
78,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1cb7936c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
85,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@35342d2f""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
87,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@45667d98""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
89,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7123be6c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
96,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@45667d98""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
105,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
106,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
119,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@45667d98""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
127,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@226eba67""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
136,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@226eba67""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
137,"isEmpty == ""false""","peek == ""#""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
138,"isEmpty == ""false""","peek == ""true""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
139,"isEmpty == ""false""","peek == ""#""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
140,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@226eba67""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
141,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
145,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@226eba67""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
156,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@365a6a43""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
164,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@99407c2""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
189,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@64a9d48c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
191,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@288cdaab""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
204,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@99407c2""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
209,"isEmpty == ""false""","peek == ""true""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
210,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@23b3aa8c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
212,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6c796cc1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
223,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@23f72d88""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
242,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
244,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4a7a965d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
250,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@87b5b49""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
255,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@23f72d88""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
262,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3fbfbf84""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
268,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4bafe935""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
269,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@507b79f7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
284,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
296,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@54d901aa""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
302,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@573284a5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
314,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@573284a5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
324,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@573284a5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
337,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@63716833""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
344,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@37864b77""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
353,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3be4fcc0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
360,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@e1e2e5e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
