,isEmpty,peek,calledMethod,isEmpty_p,calledMethod_p
0,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1,"isEmpty == ""false""","peek == ""100""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
2,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1d06f16f""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
3,"isEmpty == ""false""","peek == ""100""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
4,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
5,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@60e3c26e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
6,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""push"""
8,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
9,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@68dd39d2""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
10,"isEmpty == ""false""","peek == ""-1.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
11,"isEmpty == ""false""","peek == ""nan""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
12,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4a44cfc0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
13,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
14,"isEmpty == ""false""","peek == ""#""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
15,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""push"""
16,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
18,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6af90849""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
22,"isEmpty == ""false""","peek == ""0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
25,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@60e3c26e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
26,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
27,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
29,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
30,"isEmpty == ""false""","peek == ""-1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
33,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4a44cfc0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
40,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4a44cfc0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
43,"isEmpty == ""false""","peek == ""10.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
47,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4fa4f485""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
49,"isEmpty == ""false""","peek == ""0.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
50,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@152c4495""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
51,"isEmpty == ""false""","peek == ""0.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
53,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7dcb42a9""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
57,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@31b82e0f""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
62,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@27a09971""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
68,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@46dcbeab""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
71,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5ec1963c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
83,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@36e43829""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
94,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6215366a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
97,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@31a2a9fa""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
103,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
104,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1a256d80""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
107,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@497d4c96""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
121,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
129,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@50eb4a2c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
132,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7235f92b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
135,"isEmpty == ""false""","peek == ""-1.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
136,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
137,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7885776b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
138,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@497d4c96""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
143,"isEmpty == ""false""","peek == ""100""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
144,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3069a360""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
147,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3472947a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
149,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@69d3cf7e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
159,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1984212d""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
162,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4eaa375c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
167,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2404b5a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
168,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3af58f76""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
169,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2404b5a""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
170,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
175,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@39f5b723""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
178,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2ead6ba4""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
181,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3af58f76""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
184,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3a3ed300""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
196,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@158ae284""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
199,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7cfac39f""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
205,"isEmpty == ""false""","peek == ""10.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
211,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@64942607""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
222,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@13c8ac77""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
225,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2c63762b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
229,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@68e02f33""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
239,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2c63762b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
240,"isEmpty == ""false""","peek == ""java.lang.Object@7a9eccc4""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
244,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5f05c8d6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
249,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4cad79bc""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
252,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4bdf""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
253,"isEmpty == ""false""","peek == ""10.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
254,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4cad79bc""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
263,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@d48e998""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
269,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@e784320""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
272,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3f6bf8aa""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
274,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3f6bf8aa""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
276,"isEmpty == ""false""","peek == "" ""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
282,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@78422efb""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
283,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@13c8ac77""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
284,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5f05c8d6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
287,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6968bcec""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
291,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5568c66f""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
294,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3a7e365""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
299,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2ceee4b6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
301,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@12a470dd""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
304,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3a7e365""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
313,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7d986d83""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
324,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@77f991c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
327,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3a7e365""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
336,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6968c1d6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
339,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@798dad3d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
341,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@27abb6ca""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
348,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@e280403""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
349,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@27abb6ca""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
350,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@e280403""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
